gotu	covered_length	total_length	coverage_ratio	strain
G000403355	1867123	2955616	0.6317204264694737	Enterorhabdus caecimuris B7
G000800475	1767317	2032698	0.8694439606867326	Bifidobacterium pseudolongum PV8-2
G000422625	1684471	3009872	0.5596487159586853	Enterorhabdus mucosicola DSM 19490
G000403255	1521577	5083159	0.2993368887339546	Lachnospiraceae bacterium 3-1 Lach_bact_3-1_V1
G000364225	1518872	6508819	0.23335600513703023	Eubacterium plexicaudatum ASF492
G000492175	1454564	3704572	0.3926402294246137	Firmicutes bacterium ASF500 Firm_bact_ASF500_V1
G000497205	1392759	3977051	0.3501989288042824	Saccharopolyspora rectivirgula DSM 43747
G000433375	1381304	4768711	0.2896598263136516	Bacteroides faecis CAG:32 MGS32
G000954135	1094168	5072301	0.21571432767889762	Ralstonia mannitolilytica SN82F48
G000953875	1058865	4669233	0.22677493284228908	Ralstonia mannitolilytica MRY14-0246
G000403335	1036046	4967607	0.2085603792731591	Lachnospiraceae bacterium COE1 Lach_bact_COE1_V1
G000294515	996435	5848211	0.17038287435251567	Nocardiopsis alba ATCC BAA-2165
G001314995	913888	6472489	0.14119575946749388	Bacteroides ovatus ATCC 8483 ASM131499v1
G001283625	894846	951382	0.9405748689800733	Escherichia coli 401686
G000364165	856201	2912727	0.29395168170583785	Clostridium sp. ASF356 Clos_bact_ASF356_V1
G001434535	845918	1880186	0.44991187042133063	Lactobacillus animalis KCTC 3501 = DSM 20602
G000403495	798737	4571652	0.1747151795455997	Lachnospiraceae bacterium 10-1 Lach_bact_10-1_V1
G000159075	797062	6920457	0.11517476374753864	Bacteroides sp. D2 Bact_sp_D2_V2
G000980495	790076	2171676	0.3638093343574272	Acinetobacter sp. N54.MGS-139 ASM98049v1
G001915455	759156	4882528	0.15548420818068018	Bacteroides sp. 43_46 ASM191545v1
G000403845	732606	3996868	0.18329502000066053	Eubacterium sp. 14-2 Euba_bact_14-2_V1
G000434815	722135	2045026	0.3531177598720016	Proteobacteria bacterium CAG:139 MGS139
G000436435	678166	5342916	0.12692806699562562	Bacteroides ovatus CAG:22 MGS22
G000433575	660057	4506006	0.14648382625322737	Bacteroides caccae CAG:21 MGS21
G000349565	642087	3705324	0.17328768010570736	Curtobacterium flaccumfaciens UCD-AKU
G000154205	527657	4719097	0.11181312865575765	Bacteroides uniformis ATCC 8492
G000437075	518912	3024253	0.17158352822994638	Akkermansia sp. CAG:344 MGS344
G000009825	489003	4303871	0.11361934407420668	Bacillus clausii KSM-K16
G000023865	487648	4308349	0.11318674508495018	Saccharomonospora viridis DSM 43017
G000286395	478418	2786799	0.1716729480669399	Staphylococcus lentus F1142
G900142675	477787	4243036	0.11260498378990892	Bacillus rhizosphaerae SC-N012,DSM 21911,NCCB 100267
G001318345	459169	7084828	0.06481018311241994	Bacteroides cellulosilyticus WH2 ASM131834v1
G001611135	455342	2509470	0.18144946940987539	Pediococcus damnosus TMW 2.1535
G000478885	432039	2862526	0.15092928413575982	Adlercreutzia equolifaciens DSM 19450
G000154845	419894	4300117	0.09764711053210878	Bacteroides coprocola DSM 17136
G000187895	362737	4421924	0.08203148674649316	Bacteroides plebeius DSM 17135
G000154525	345801	4009829	0.08623834083697833	Bacteroides stercoris ATCC 43183
G000012845	343262	4811379	0.07134378730089648	Parabacteroides distasonis ATCC 8503
G000009125	336879	5810922	0.05797341626681618	Ralstonia solanacearum GMI1000
G001022195	336601	7227285	0.04657364418311994	Klebsiella oxytoca CAV1374
G000315485	333100	7087734	0.04699668469499561	Bacteroides oleiciplenus YIT 12058
G000753855	300437	2623309	0.11452596701341702	Thermoactinomyces sp. Gus2-1 ASM75385v1
G000233655	290145	3784483	0.07666701105540703	Brachybacterium paraconglomeratum LC44
G000648515	287615	5371331	0.05354631840785831	Citrobacter freundii CFNIH1
G000422085	284051	5282719	0.05376984844357612	Serratia liquefaciens ATCC 27592
G001606065	272811	2558690	0.10662135702253887	Thermoactinomyces sp. AS95 ASM160606v1
G001187615	270955	2453828	0.11042134982566015	Thermoactinomyces sp. CDF ASM118761v1
G000156035	262273	3995628	0.0656399945140038	Tyzzerella nexilis DSM 1787
G001422145	260045	3423974	0.0759482986728287	Frigoribacterium sp. Leaf254 Leaf254
G001902315	254218	2745675	0.09258852559024648	Staphylococcus succinus 14BME20
G000314675	242626	5261968	0.04610936440510471	Afipia broomeae ATCC 49717
G900113155	239586	5465751	0.04383404952036783	[Clostridium] clostridioforme ATCC 25537
G001558935	236897	5083867	0.046597796519853886	Citrobacter amalonaticus FDAARGOS_165
G000157915	235248	4041504	0.05820803344497494	Bacteroides coprophilus DSM 18228 = JCM 13818 DSM 18228
G000195995	231846	5133713	0.04516146500593236	Salmonella enterica subsp. enterica serovar Typhi str. CT18
G000008345	231742	2560265	0.09051484904882894	Propionibacterium acnes KPA171202
G000191545	227830	2097766	0.10860601230070466	Lactobacillus acidophilus 30SC
G000025565	227007	5598796	0.04054568160725985	Enterobacter cloacae subsp. cloacae ATCC 13047
G000144735	225625	2503840	0.09011158859991054	Propionibacterium acnes HL063PA2
G000145515	225389	2505472	0.08995869840094002	Propionibacterium acnes HL030PA2
G000145555	224714	2476421	0.09074143693661134	Propionibacterium acnes HL037PA1
G001022135	221645	6166452	0.03594368366120421	Kluyvera intermedia CAV1151
G001572725	219288	4922834	0.04454507302094688	Serratia rubidaea 1122
G001598215	214590	4659344	0.046055839620341404	Bacillus clausii AKU0647
G001653905	213867	3670170	0.058271687687491316	Bacillus safensis S9
G000735365	213076	4932354	0.043199656796734376	Kluyvera ascorbata ATCC 33433
G000014425	212146	1894360	0.11198821765662281	Lactobacillus gasseri ATCC 33323 = JCM 1131 ATCC 33323
G000235885	209957	3097322	0.067786623412096	Prevotella stercorea DSM 18206
G001017485	206497	3795691	0.05440300593488775	Bacillus pumilus 15.1
G000381365	205760	5315450	0.0387097987940814	Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988 DSM 18765
G001406335	204518	3878672	0.052728872150055485	Fusicatenibacter saccharivorans 2789STDY5834885
G000195635	201870	4330716	0.04661353919305722	Bacteroides fluxus YIT 12057
G000614145	201342	4782583	0.04209900800467028	Bacteroides faecichinchillae JCM 17102
G000694955	201219	4852316	0.04146865125849182	Lelliottia amnigena CHS 78
G001915435	198682	3110197	0.06388084098852902	Bacteroides sp. 41_26 ASM191543v1
G000307375	196544	4629061	0.04245871894969628	Parabacteroides johnsonii CL02T12C29
G000240185	192557	5682322	0.03388702716952682	Klebsiella pneumoniae subsp. pneumoniae HS11286
G000174195	188631	4048462	0.04659324948585413	Roseburia inulinivorans DSM 16841
G000428565	188140	6677094	0.028176928466186038	Parabacteroides gordonii DSM 23371
G900128475	187825	3949838	0.047552583169233775	Mediterranea massiliensis Marseille-P2645
G000341025	186459	5808301	0.032102158617468346	Nocardiopsis salina YIM 90010
G001688625	179578	3818500	0.047028414298808434	Flavonifractor plautii YL31
G000225345	173463	3592125	0.04828980060549118	Roseburia hominis A2-183
G000011645	172857	4222597	0.040936182164672597	Bacillus licheniformis DSM 13 = ATCC 14580
G000247895	172386	5735978	0.03005346254814785	Raoultella ornithinolytica 10-5246
G001620305	169511	5502110	0.030808362609980534	Rhodococcus fascians D188 ASM162030v1
G000231055	167962	4763852	0.03525760246120156	Saccharomonospora azurea NA-128
G000735515	166419	4991160	0.03334274998196812	Leclercia adecarboxylata ATCC 23216 = NBRC 102595 ATCC 23216
G000719975	163162	5220823	0.03125216081832309	Prauserella rugosa NRRL B-2295
G000982825	162106	4663565	0.03476010305420853	Cronobacter sakazakii ATCC 29544 ASM98282v1
G000196015	160411	6913352	0.023203071389971176	Cupriavidus metallidurans CH34
G000163595	156120	5267389	0.029638972933269215	Serratia odorifera DSM 4582
G001514455	153538	6325799	0.02427171650569359	Serratia fonticola GS2
G900108895	153069	5236575	0.02923074719640223	[Clostridium] clostridioforme NLAE-zl-G208
G000156535	152232	4411375	0.03450896829219914	Roseburia intestinalis L1-82
G900100685	152062	5225716	0.02909878761111396	[Clostridium] clostridioforme NLAE-zl-C196
G000784965	152009	4967343	0.030601671758926252	Pantoea sp. PSNIH2 ASM78496v1
G000177015	150408	3197355	0.047041382642840725	Ruminococcaceae bacterium D16 Rumi_bact_D16_V2
G000436855	147401	3530863	0.04174645122169849	Bacteroides finegoldii CAG:203 MGS203
G000526735	146647	3724077	0.03937807945431848	Ruminococcus gnavus AGR2154
G000162015	144522	3090349	0.04676559184739329	Faecalibacterium prausnitzii A2-165
G002005165	142073	3629225	0.039146925307744766	Novibacillus thermophilus SG-1
G000019725	140897	6899110	0.020422489277602474	Methylobacterium radiotolerans JCM 2831
G000159055	140575	3842594	0.03658336009476931	Clostridium sp. M62/1 ASM15905v1
G000154505	140456	3622605	0.03877209908339441	[Clostridium] scindens ATCC 35704
G000169235	139372	3186031	0.04374470932643154	Dorea formicigenerans ATCC 27755
G001280145	138684	6957317	0.019933546221912842	Asanoa ferruginea NRRL B-16430
G000009065	136489	4829855	0.028259440500801782	Yersinia pestis CO92 ASM906v1
G001571285	136190	5044663	0.026996847955948693	Kluyvera cryocrescens NBRC 102467
G900129135	134607	4839287	0.027815461244600704	Lactonifactor longoviformis DSM 17459
G000757785	132463	5489680	0.02412945745471503	Pluralibacter gergoviae FB2
G000168835	131783	4472646	0.029464214248120686	Yersinia pestis FV-1
G900142265	131592	3546077	0.03710917726828831	[Clostridium] lactatifermentans DSM 14214
G000875895	128673	3171720	0.040568839620143016	Staphylococcus gallinarum DSM 20610
G000215745	127395	5280350	0.02412624163171002	Enterobacter aerogenes KCTC 2190
G000164865	126845	4814049	0.026348921666563843	Enterobacter lignolyticus SCF1
G000210575	123556	3763317	0.032831674823035104	Alistipes shahii WAL 8301
G000020605	123488	3449685	0.03579689160024756	[Eubacterium rectale] ATCC 33656
G001709315	122284	5115241	0.023905814017364968	Pantoea agglomerans C410P1
G001915495	120742	2992278	0.040351197315222714	Bacteroides finegoldii isolate 42_12
G001543345	119586	2622031	0.04560815642530542	Turicibacter sp. H121 ASM154334v1
G001580195	117604	3113726	0.03776954041556643	Akkermansia sp. KLE1798 ASM158019v1
G001578645	117245	3109783	0.03770198756633501	Akkermansia sp. KLE1797 ASM157864v1
G001647615	117146	3108219	0.037689107492103996	Akkermansia sp. KLE1605 ASM164761v1
G000169655	115831	4720694	0.024536858351759297	Yersinia pestis biovar Mediaevalis str. K1973002
G001578205	115134	3878815	0.0296827768274589	Bacillus pumilus SH-B9
G001406695	114752	4283273	0.02679072755810802	[Clostridium] innocuum 2789STDY5834853
G900104675	113053	4041781	0.027971085024151483	Angelakisella massiliensis Marseille-P3217
G000686145	112900	3583479	0.031505696001009074	Peptostreptococcaceae bacterium VA2 ASM68614v1
G900106785	112835	3475353	0.0324672054896294	Prevotellamassilia timonensis Marseille-P2831
G900091655	112341	4410591	0.025470736234667873	Culturomica massiliensis Marseille-P2698
G000300455	112302	4902027	0.022909298541195305	Kosakonia sacchari SP1 ASM30045v4
G000010125	111114	2577899	0.043102542031320856	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 ASM1012v1
G000520015	108842	5488183	0.019832064637786313	Chania multitudinisentens RB-25 ASM52001v2
G001297765	107752	4602545	0.023411395217211348	Trabulsiella odontotermitis TbO2.3
G000373885	106556	6085687	0.01750928038198481	Blautia producta ATCC 27340 = DSM 2950 ATCC 27340
G000296465	105177	3443906	0.030540032161156548	Barnesiella intestinihominis YIT 11860
G900130115	104684	5162116	0.020279280822050494	Nissabacter archeti 2134
G000702025	104153	6679327	0.0155933374724729	Blautia schinkii DSM 10518
G000154565	103340	3719688	0.027781899987310763	Anaerotruncus colihominis DSM 17241
G001461035	102981	3660245	0.028135001891949857	Acetivibrio ethanolgignens ACET-33324
G000169255	102291	4241076	0.024119115054764405	Pseudoflavonifractor capillosus ATCC 29799
G000269565	102289	3861289	0.026490894620941348	Coprobacillus sp. D6 PB_Copr_sp_D6_V1
G000466565	101052	3573774	0.02827599059145878	Blautia sp. KLE 1732 ASM46656v1
G000189595	100361	5352498	0.018750310602638244	[Clostridium] symbiosum WAL-14163
G000016325	100079	4676461	0.021400584758431644	Enterobacter sp. 638 ASM1632v1
G001275135	99559	3788330	0.026280445473335218	Prevotella sp. 109 ASM127513v1
G000155435	99273	6548966	0.015158576178285244	Clostridiales bacterium 1_7_47FAA ASM15543v1
G001405615	98712	3567818	0.027667330564507493	Roseburia faecis 2789STDY5608863
G000155875	97697	3242215	0.030132795018220568	Coprococcus comes ATCC 27758
G001312505	97106	3259449	0.029792151986424698	Ruminococcus faecis JCM 15917
G001481375	97042	3951525	0.02455811363967076	Ruthenibacterium lactatiformans 668
G001280875	96224	3189052	0.03017323016369755	Sellimonas intestinalis BR72
G000012405	95333	3642249	0.026174212691114748	Thermobifida fusca YX
G001941345	95006	2862233	0.033192965073074066	Corynebacterium stationis 622=DSM 20302
G001281465	94900	5578743	0.017011000506744978	Cupriavidus gilardii CR3
G900086585	94647	4661482	0.02030405780822494	Emergencia timonensis SN18
G000154465	94498	2550678	0.0370481887560876	Alistipes putredinis DSM 17216
G000512915	94111	3076856	0.030586741790971043	Barnesiella viscericola DSM 18177 C46, DSM 18177
G000735455	93538	4853440	0.01927251598865959	Yokenella regensburgei ATCC 49455
G000265365	92981	3734239	0.02489958462755062	Alistipes finegoldii DSM 17242
G001457015	92471	3615064	0.025579353505221485	Bacillus cellulasensis NIO-1130
G900094985	92439	3615064	0.02557050165640221	Bacillus sp. nio-1130 NIO-1130
G000986655	92378	3634690	0.02541564755178571	Bacillus sp. L_1B0_12 ASM98665v1
G001705425	92216	6303257	0.01462989689298723	Mesorhizobium sp. UASWS1009 ASM170542v1
G000745855	92181	6535173	0.01410536492300969	Xenophilus azovorans DSM 13620
G001432245	91846	2822193	0.03254419524107671	Staphylococcus equorum KS1039
G900119345	91707	3706009	0.02474548766611198	Bacillus sp. ru9509.4 RU9509.4
G000190535	91508	4392288	0.020833788676880932	Odoribacter splanchnicus DSM 20712 DSM 220712
G000153885	91430	2870795	0.03184832076132221	Eubacterium ventriosum ATCC 27560
G000701305	91188	3718149	0.02452510644409355	Bacillus sp. UNC125MFCrub1.1 ASM70130v1
G000469345	91185	3447136	0.026452394103394818	Eubacterium ramulus ATCC 29099
G000154425	90598	3102987	0.0291970285405643	Coprococcus eutactus ATCC 27759
G001244495	90577	3453778	0.026225484093071412	Clostridium phoceensis GD3
G001688965	90059	4468295	0.02015511509423617	Erysipelotrichaceae bacterium I46 ASM168896v1
G900086725	89549	4219447	0.021222923288288727	Bariatricus massiliensis AT12
G000311925	89386	3163675	0.028253850348092014	Alistipes obesi isolate ph8
G000153905	89149	3625508	0.024589381681132685	Blautia obeum ATCC 29174
G001439535	88942	2980252	0.029843785022206176	Opitutaceae bacterium BACL24 MAG-120322-bin51 ASM143953v1
G000341145	88797	5330432	0.016658499723849775	Nocardiopsis xinjiangensis YIM 90004
G000371705	88072	6377378	0.01381006426151939	[Clostridium] bolteae 90A9
G000469445	88057	3594235	0.02449951102251244	Oscillibacter sp. KLE 1745 ASM46944v2
G000205165	87357	3789812	0.023050483770698914	Paraprevotella xylaniphila YIT 11841
G001021935	86918	4561137	0.01905621339591422	Xanthomonas translucens pv. undulosa Xtu 4699
G000438395	86806	3320774	0.02614029138989886	Bacteroides sp. CAG:98 MGS98
G000173815	86563	4548960	0.01902918469276494	Marvinbryantia formatexigens DSM 14469
G000341085	85134	7352287	0.011579254183086161	Nocardiopsis ganjiahuensis DSM 45031
G000953275	82912	4293049	0.01931308028396601	Clostridioides difficile 630Derm
G000284835	82659	2846106	0.029042839585033023	Ureibacillus thermosphaericus str. Thermo-BF
G000568555	82639	5542402	0.014910322275432205	Mesorhizobium sp. NBIMC_P2-C3 NBIMC_P2-C3
G000262305	82524	4158725	0.019843581867038575	Shimwellia blattae DSM 4481 = NBRC 105725 DSM 4481
G000450985	81958	4323423	0.018956738676738315	Clostridioides difficile P28
G000009205	81834	4298133	0.019039429445296366	Clostridioides difficile 630 ASM920v1
G000248015	81677	4495280	0.018169502233453757	Atlantibacter hermannii NBRC 105704
G000154285	81587	2191053	0.037236433806028424	[Eubacterium] dolichum DSM 3991
G001487105	80138	3069885	0.026104560920034464	Ruminococcus sp. AT10 Ruminococcus phoceensis
G001564455	80102	2542486	0.03150538488707509	Faecalibaculum rodentium ALO17
G001404335	79990	5545490	0.01442433400835634	[Eubacterium] contortum 2789STDY5834876
G000741135	79732	2096123	0.038037844153229555	Bifidobacterium choerinum LMG 10510
G000499785	79420	5025334	0.01580392467445945	Bacteroides neonati MS4
G000320405	79261	3553721	0.022303664243760273	Clostridium celatum DSM 1785
G000371425	79154	4803668	0.016477824862167825	[Clostridium] innocuum 2959
G001486665	79009	3829505	0.020631648215631	Fournierella massiliensis AM2
G000463155	78729	4236729	0.018582496071851657	Siccibacter turicensis LMG 23730
G000374585	78110	3619906	0.021577908376626355	Bacteroides barnesiae DSM 18169 = JCM 13652 DSM 18169
G900104665	77991	2606093	0.02992640707756784	Traorella massiliensis Marseille-P3110
G001244995	77919	3105129	0.025093643452494246	Intestinimonas massiliensis GD2
G000757825	76493	4876443	0.015686228671185125	Cedecea neteri SSMD04
G000156675	76340	3058721	0.024958144270105054	Blautia hansenii DSM 20583
G000022965	75935	1938483	0.03917238376606862	Bifidobacterium animalis subsp. lactis DSM 10140
G000340965	75523	5312089	0.014217194026681406	Nocardiopsis kunsanensis DSM 44524
G000242955	75471	3098456	0.02435761553496322	Eubacterium sp. 3_1_31 Eubact_sp_3_1_31_V1
G001305135	75061	3113981	0.024104514446298804	Clostridia bacterium UC5.1-1D1 ASM130513v1
G001187865	74947	4256263	0.01760863931575657	Klebsiella sp. RIT-PI-d ASM118786v1
G000832305	74569	8421483	0.008854616223769613	Cupriavidus basilensis 4G11
G000972575	74548	2826849	0.02637141212707152	Staphylococcus cohnii subsp. cohnii 532
G000739375	74507	6062703	0.012289402928033915	Comamonas testosteroni TK102
G000092985	74255	6543312	0.01134822854236509	Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111
G000701665	72930	2646896	0.02755302815070936	Butyricicoccus desmolans ATCC 43058
G000154345	72801	3270209	0.02226187989819611	[Clostridium] leptum DSM 753
G000398925	72292	3325721	0.02173724133804369	Butyricicoccus pullicaecorum 1.2
G000154485	72194	3235195	0.022315192747268713	Erysipelatoclostridium ramosum DSM 1402
G000686665	71866	3143441	0.02286220737083979	[Clostridium] saccharogumia DSM 17460
G000759795	71741	4374581	0.016399513461974987	Escherichia vulneris NBRC 102420
G000430525	70658	2800206	0.025233143561580827	Prevotella corporis DSM 18810 = JCM 8529 DSM 18810
G000190575	70650	4308663	0.016397197924274885	Bacteroides salanitronis DSM 18170
G000160095	69794	7163884	0.009742480475674928	Hungatella hathewayi DSM 13479
G000411355	69663	2792342	0.02494787529607763	Coprococcus sp. HPP0048 Copr_sp_HPP0048_V1
G900002265	68281	2500326	0.027308838927403867	Serratia symbiotica SCt-VLC
G000153925	67148	2741706	0.024491320367683478	Ruminococcus torques ATCC 27756
G000770305	66672	4744408	0.014052754316239244	Erwinia oleae DAPP-PG531
G001308145	65884	2577731	0.025558912081982178	Weissella cibaria CH2
G000158655	65857	3478423	0.018933004985305122	[Clostridium] methylpentosum DSM 5476
G001406595	65798	2612019	0.02519047526070829	Turicibacter sanguinis 2789STDY5834851
G900113175	65539	3382342	0.019376810505856594	Planifilum fulgidum DSM 44945
G000069785	65511	6476522	0.010115151311151264	Cupriavidus taiwanensis LMG 19424
G001454945	65440	3376475	0.01938115934517507	Intestinimonas butyriciproducens AF211
G000403415	65167	2407520	0.02706810327640061	Firmicutes bacterium M10-2 Firm_bact_M10-2_V1
G900114575	64864	4232065	0.015326796729256286	[Clostridium] innocuum NLAE-zl-C381
G000157995	63277	3932923	0.01608905132391354	Holdemania filiformis DSM 12042
G001941055	62815	2076509	0.030250290270834368	Ruminococcus sp. Zagget7 ASM194105v1
G000242195	62763	4414579	0.014217210746483413	Erysipelotrichaceae bacterium 21_3 Erys_bact_21_3_V1
G000154305	61820	3606936	0.0171392006955488	Anaerostipes caccae DSM 14662
G000177075	61091	3033961	0.02013572356401417	Prevotella buccalis ATCC 35310
G001244545	61040	3594189	0.016982968897851503	Candidatus Stoquefichus sp. SB1 Stoquefichus jeddahense
G000163515	60448	3137498	0.01926630710202843	Erysipelotrichaceae bacterium 5_2_54FAA Ery_bact_5_2_54FAA_V2
G000188175	59857	2121954	0.028208434301591836	Phascolarctobacterium succinatutens YIT 12067
G000758925	59710	2838933	0.021032549905193255	Prevotella sp. S7-1-8 04_NF40_HMP1640v01
G000752095	59462	2931144	0.02028627730333276	bacterium LF-3 Guyana massiliensis
G000621185	59338	4710926	0.01259582510954322	Franconibacter pulveris DSM 19144
G000715205	59079	3736192	0.015812624190619753	Bacillus zhangzhouensis DW5-4
G000154805	57950	2507885	0.02310712014306876	[Clostridium] spiroforme DSM 1552
G000372405	57930	2356678	0.024581211349195775	Porphyromonas somerae DSM 23386
G000157955	57393	3245471	0.01768402798854157	Subdoligranulum variabile DSM 15176
G001311035	57323	3215420	0.01782753108458615	[Clostridium] glycyrrhizinilyticum JCM 13369
G000397165	57198	2064620	0.02770388739816528	Lactobacillus fermentum F-6
G001689425	56545	3133976	0.018042575948252315	Bacteroidales bacterium M1 ASM168942v1
G001586165	56266	5011796	0.011226713936481053	Obesumbacterium proteus DSM 2777
G000255535	56083	5656799	0.009914264233182053	Rahnella aquatilis HX2
G000157355	56019	3427276	0.01634505070499137	Enterococcus casseliflavus EC20 ASM15735v2
G000427365	55485	2880076	0.019265116614978216	Rikenella microfusus DSM 15922
G000024925	55453	4253413	0.01303729499110479	Sanguibacter keddieii DSM 10542
G001950115	55359	3550411	0.015592279316394637	Paeniclostridium sordellii CBA7122
G000286335	54263	2559484	0.021200757652714376	Staphylococcus vitulinus F1028
G000210615	54239	1966750	0.027577983983729504	Faecalitalea cylindroides T2-87
G001414325	54201	3610525	0.015011944246335366	Lachnospiraceae bacterium TF01-11 ASM141432v1
G000504125	54195	3351060	0.016172494673327247	Enterococcus mundtii QU 25 QU25
G900142955	54195	5217774	0.01038661314192604	Anaerosporobacter mobilis DSM 15930
G000262545	54027	2521238	0.021428758411542265	Prevotella bivia DSM 20514
G000832075	53650	3385516	0.015846919642382433	Sanguibacteroides justesenii OUH 308042
G900102685	53484	3188902	0.01677191710500981	Melghirimyces thermohalophilus DSM 45514
G001406535	53479	2660930	0.02009786052244892	Turicibacter sanguinis 2789STDY5834949
G000180175	52932	4092852	0.012932791119737533	Plautia stali symbiont ASM18017v2
G001435325	51854	2009795	0.025800641358944568	Lactobacillus intestinalis DSM 6629
G000009345	51587	4683620	0.011014343606014151	Yersinia enterocolitica subsp. enterocolitica 8081
G001606005	50878	3862244	0.013173170830222016	Brevibacterium linens BS258
G000833105	50865	6485394	0.007843008458699657	Clostridium beijerinckii NCIMB 14988
G000155205	50625	2731235	0.018535570904737234	Ruminococcus lactaris ATCC 29176
G000154065	50584	2915433	0.017350424448100848	Dorea longicatena DSM 13814
G000696615	50478	4168037	0.012110737020808596	Bacillus subtilis E72
G900155395	50439	2468696	0.020431434247068087	Merdibacter massiliensis Marseille-P3254
G000422165	50331	2225962	0.022610898119554603	Lactobacillus helveticus CNRZ32
G000454045	49395	6371421	0.007752587688052634	Rhodococcus erythropolis CCM2595
G900110305	49302	4246244	0.011610731743159367	Bacillus subtilis BGSC 3A28
G001436315	49109	1680526	0.02922239822531755	Lactobacillus aviarius subsp. aviarius DSM 20655
G000517545	48954	5365278	0.00912422431791978	Bacteroides reticulotermitis JCM 10512
G001404455	48709	3731704	0.013052750164536093	Blautia obeum 2789STDY5608838
G000069225	48166	3403786	0.014150713352719588	Clavibacter michiganensis subsp. sepedonicus
G000157975	47641	3626943	0.013135304304479007	Blautia hydrogenotrophica DSM 10507
G000374405	47500	2436793	0.019492833408500436	Riemerella columbina DSM 16469
